SRR12516916_2.fastq	S53_S53_L001_R2_001.fastq
SRR12516917_1.fastq	S52_S52_L001_R1_001.fastq
SRR12516917_2.fastq	S52_S52_L001_R2_001.fastq
SRR12516918_1.fastq	S51_S51_L001_R1_001.fastq
SRR12516918_2.fastq	S51_S51_L001_R2_001.fastq
SRR12516919_1.fastq	S6_S6_L001_R1_001.fastq
SRR12516919_2.fastq	S6_S6_L001_R2_001.fastq
SRR12516920_1.fastq	S50_S50_L001_R1_001.fastq
SRR12516920_2.fastq	S50_S50_L001_R2_001.fastq
SRR12516921_1.fastq	S49_S49_L001_R1_001.fastq
SRR12516921_2.fastq	S49_S49_L001_R2_001.fastq
SRR12516922_1.fastq	S48_S48_L001_R1_001.fastq
SRR12516922_2.fastq	S48_S48_L001_R2_001.fastq
SRR12516923_1.fastq	S47_S47_L001_R1_001.fastq
SRR12516923_2.fastq	S47_S47_L001_R2_001.fastq
SRR12516924_1.fastq	S46_S46_L001_R1_001.fastq
SRR12516924_2.fastq	S46_S46_L001_R2_001.fastq
SRR12516925_1.fastq	S45_S45_L001_R1_001.fastq
SRR12516925_2.fastq	S45_S45_L001_R2_001.fastq
SRR12516926_1.fastq	S44_S44_L001_R1_001.fastq
SRR12516926_2.fastq	S44_S44_L001_R2_001.fastq
SRR12516927_1.fastq	S43_S43_L001_R1_001.fastq
SRR12516927_2.fastq	S43_S43_L001_R2_001.fastq
SRR12516928_1.fastq	S42_S42_L001_R1_001.fastq
SRR12516928_2.fastq	S42_S42_L001_R2_001.fastq
SRR12516929_1.fastq	S41_S41_L001_R1_001.fastq
SRR12516929_2.fastq	S41_S41_L001_R2_001.fastq
SRR12516930_1.fastq	S5_S5_L001_R1_001.fastq
SRR12516930_2.fastq	S5_S5_L001_R2_001.fastq
SRR12516931_1.fastq	S40_S40_L001_R1_001.fastq
SRR12516931_2.fastq	S40_S40_L001_R2_001.fastq
SRR12516932_1.fastq	S39_S39_L001_R1_001.fastq
SRR12516932_2.fastq	S39_S39_L001_R2_001.fastq
SRR12516933_1.fastq	S38_S38_L001_R1_001.fastq
SRR12516933_2.fastq	S38_S38_L001_R2_001.fastq
SRR12516934_1.fastq	S37_S37_L001_R1_001.fastq
SRR12516934_2.fastq	S37_S37_L001_R2_001.fastq
SRR12516935_1.fastq	S36_S36_L001_R1_001.fastq
SRR12516935_2.fastq	S36_S36_L001_R2_001.fastq
SRR12516936_1.fastq	S35_S35_L001_R1_001.fastq
